,nodes_number,edges_number,run_time
0,64.0,428.0,0.5548000335693359
1,128.0,1224.0,11.923074722290039
2,128.0,1373.0,1.6710758209228516
3,16.0,58.0,0.09298324584960938
4,64.0,373.0,0.42819976806640625
5,64.0,385.0,0.48804283142089844
6,64.0,347.0,0.3781318664550781
7,16.0,86.0,0.10609626770019531
8,16.0,45.0,0.05888938903808594
9,16.0,30.0,0.04506111145019531
10,64.0,364.0,0.3960132598876953
11,512.0,10741.0,12.93182373046875
12,32.0,85.0,0.1049041748046875
13,32.0,79.0,0.10180473327636719
14,1024.0,31510.0,36.67497634887695
15,256.0,3995.0,42.305946350097656
16,32.0,83.0,0.11014938354492188
17,256.0,3773.0,4.044055938720703
18,1024.0,32273.0,38.68532180786133
19,16.0,30.0,0.04887580871582031
20,64.0,166.0,0.20074844360351562
21,64.0,169.0,0.19621849060058594
22,16.0,47.0,0.056743621826171875
23,16.0,38.0,0.048160552978515625
24,64.0,178.0,0.20599365234375
25,32.0,186.0,0.2129077911376953
26,32.0,145.0,0.16999244689941406
27,32.0,147.0,0.15997886657714844
28,32.0,110.0,0.1251697540283203
29,128.0,375.0,0.4229545593261719
30,1024.0,3049.0,4.013776779174805
31,512.0,3004.0,3.570079803466797
32,512.0,3099.0,3.6139488220214844
33,1024.0,3090.0,4.155158996582031
34,128.0,363.0,0.4191398620605469
35,1024.0,3071.0,4.053831100463867
36,32.0,140.0,0.16379356384277344
37,512.0,2977.0,3.7310123443603516
38,32.0,168.0,0.19097328186035156
39,128.0,365.0,0.4260540008544922
40,256.0,740.0,0.9000301361083984
41,256.0,767.0,0.8530616760253906
42,256.0,752.0,0.8871555328369141
43,512.0,1535.0,2.3109912872314453
44,128.0,714.0,0.7619857788085938
45,1024.0,6030.0,7.524251937866211
46,1024.0,5980.0,7.6389312744140625
47,512.0,1540.0,2.4881362915039062
48,1024.0,31406.0,36.56506538391113
49,512.0,1521.0,2.240896224975586
50,256.0,3957.0,4.3239593505859375
51,128.0,676.0,0.762939453125
52,1024.0,6153.0,7.788896560668945
53,128.0,754.0,0.8220672607421875
54,64.0,379.0,0.3981590270996094
55,256.0,1499.0,1.756906509399414
56,128.0,1357.0,1.5201568603515625
57,512.0,11587.0,12.824058532714844
58,256.0,1508.0,1.8780231475830078
59,16.0,38.0,0.07081031799316406
60,16.0,62.0,0.07295608520507812
61,256.0,1492.0,1.7650127410888672
62,512.0,11213.0,13.10276985168457
