,id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,notional,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs,trail_percent,trail_price,hwm
15,8154db41-4104-47b7-ab2f-6aac81ac6fd8,729f97e5-7f48-4e41-bc18-e335069e243b,2022-03-03T19:52:33.652982Z,2022-03-03T19:52:33.877702Z,2022-03-03T19:52:33.650966Z,2022-03-03T19:52:33.871691Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2694.06,,market,market,buy,day,,,filled,False,,,,
16,635ed27d-a116-4a1e-87cb-ceef28fd0829,74a33814-fcdf-463b-9016-cdda8430f2fc,2022-03-03T19:52:30.92284Z,2022-03-03T19:52:31.764597Z,2022-03-03T19:52:30.920815Z,2022-03-03T19:52:31.760699Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,842.6172727272727273,,market,market,buy,day,,,filled,False,,,,
17,56dcf633-c715-4fa7-9f49-1eb6b071a890,e3e4dbcf-5565-49c0-b4d1-25ebb54416f1,2022-03-03T19:52:23.890573Z,2022-03-03T19:52:24.262601Z,2022-03-03T19:52:23.889226Z,2022-03-03T19:52:24.254744Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,60,60,166.63,,market,market,buy,day,,,filled,False,,,,
18,ab1b6f8f-db81-4e2d-8beb-aa9a1ff7b184,02a3508b-00cb-4049-b106-37b21b70f894,2022-03-03T17:51:55.994424Z,2022-03-03T17:51:56.369193Z,2022-03-03T17:51:55.993897Z,2022-03-03T17:51:56.364276Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2701.59,,market,market,sell,day,,,filled,False,,,,
19,f3b52d21-c42e-42d7-9314-67c6709e0c99,266167ad-f84e-4480-813b-b9a9d3c9c4a4,2022-03-03T17:51:52.684349Z,2022-03-03T17:51:53.041828Z,2022-03-03T17:51:52.683806Z,2022-03-03T17:51:53.038726Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,22,22,855.73,,market,market,sell,day,,,filled,False,,,,
20,a7c54d71-b41c-4846-a44c-f0b81d31ea9d,636c9811-dce2-4379-b81e-42590b529e33,2022-03-03T16:51:44.613149Z,2022-03-03T16:51:45.021164Z,2022-03-03T16:51:44.612625Z,2022-03-03T16:51:45.015551Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,335,335,86.03,,market,market,sell,day,,,filled,False,,,,
21,5af17921-b0fa-43ae-84e3-3e505d5742e7,820d9871-3304-4369-be60-8b0c81ebff96,2022-03-03T16:51:33.716264Z,2022-03-03T16:51:33.989648Z,2022-03-03T16:51:33.715587Z,2022-03-03T16:51:33.986108Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,337,337,28.64,,market,market,sell,day,,,filled,False,,,,
22,9b2e15ce-2bfc-4c81-b806-5b273ff068e1,45c84ea7-7367-4977-a44a-116072e7cf3c,2022-03-03T15:51:28.450317Z,2022-03-03T15:51:28.690152Z,2022-03-03T15:51:28.448182Z,2022-03-03T15:51:28.686562Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,114,114,87.3,,market,market,buy,day,,,filled,False,,,,
23,66802812-4c81-4128-a56a-df7f0a1c9b40,e7aad420-7184-4443-b92e-3bb5913224c5,2022-03-03T15:51:24.511881Z,2022-03-03T15:51:24.821027Z,2022-03-03T15:51:24.509611Z,2022-03-03T15:51:24.810186Z,,,,,,,f30d734c-2806-4d0d-b145-f9fade61432b,GOOG,us_equity,,3,3,2687,,market,market,buy,day,,,filled,False,,,,
24,e54739f3-f43c-4754-82e6-722410efb09b,5b66da0e-8250-491d-916a-98e12a4eff0d,2022-03-03T15:51:18.936824Z,2022-03-03T15:51:18.981665Z,2022-03-03T15:51:18.934703Z,2022-03-03T15:51:18.978084Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,857.95,,market,market,buy,day,,,filled,False,,,,
25,ff566209-704e-4fa7-859a-cf6097efb282,d797d709-3186-45ad-b1cd-fa63e16707b4,2022-03-03T15:51:11.968321Z,2022-03-03T15:51:12.283907Z,2022-03-03T15:51:11.966447Z,2022-03-03T15:51:12.280933Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,60,60,166.36,,market,market,buy,day,,,filled,False,,,,
26,c0b45b08-6f71-485d-9f9a-f5cd3aeed3a4,ff4e1a14-1d12-4209-9adb-089610e08466,2022-03-03T14:51:07.626851Z,2022-03-03T14:51:07.780488Z,2022-03-03T14:51:07.625032Z,2022-03-03T14:51:07.777289Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,112,112,88.95,,market,market,buy,day,,,filled,False,,,,
27,9c934dbc-50cf-4de5-bae9-7956ec41ab20,ee983136-5c93-4919-91d3-5e0d14b1f980,2022-03-03T14:50:57.980872Z,2022-03-03T14:50:58.474138Z,2022-03-03T14:50:57.97908Z,2022-03-03T14:50:58.470115Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,867.42,,market,market,buy,day,,,filled,False,,,,
28,2255d626-da56-4d65-be75-5c4634fc545e,9dcd2721-e28b-4920-aca4-39b9f04b0e2c,2022-03-03T14:50:52.564677Z,2022-03-03T14:50:52.719626Z,2022-03-03T14:50:52.562907Z,2022-03-03T14:50:52.716223Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,337,337,29.76,,market,market,buy,day,,,filled,False,,,,
29,3f975bc8-5b4a-4e9b-b95d-a6fd119da339,3c8e28bb-f205-45bb-a060-d06fd7de4b96,2022-03-02T21:46:04.938495Z,2022-03-03T14:30:22.464874Z,2022-03-02T21:46:04.936577Z,2022-03-03T14:30:22.461639Z,,,,,,,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,AAPL,us_equity,,60,60,168.61,,market,market,buy,day,,,filled,False,,,,
30,7edbb3ec-f765-492b-bfa4-ccedb40f954f,e5f4bec4-893d-45c5-9349-3eccd2980d3b,2022-03-02T18:45:28.256624Z,2022-03-02T18:45:28.521466Z,2022-03-02T18:45:28.255331Z,2022-03-02T18:45:28.518687Z,,,,,,,d0beedd3-b01e-4111-9b2a-f580e7c9b5ec,NTES,us_equity,,109,109,91.22,,market,market,buy,day,,,filled,False,,,,
31,edde3125-055c-4b25-b71e-90486867df87,5e7ec02c-e928-46d6-99f5-bf5659833330,2022-03-02T18:45:20.86512Z,2022-03-02T18:45:21.335995Z,2022-03-02T18:45:20.864571Z,2022-03-02T18:45:21.33272Z,,,,,,,8ccae427-5dd0-45b3-b5fe-7ba5e422c766,TSLA,us_equity,,11,11,863.5818181818181818,,market,market,sell,day,,,filled,False,,,,
32,4b4ff2b0-86b0-4dd3-8932-43855b3f54a3,0a22e7c7-59c5-4624-9909-24b979bb8d95,2022-03-02T17:45:01.72999Z,2022-03-02T17:45:01.967155Z,2022-03-02T17:45:01.729323Z,2022-03-02T17:45:01.959168Z,,,,,,,53161918-a2a0-45c2-9201-c6facab1912f,BILI,us_equity,,329,329,29.97,,market,market,sell,day,,,filled,False,,,,
